Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
Multiple failed logins from a single IP,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
An identity performed a suspicious download of multiple cloud storage objects,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Collection (TA0009)Exfiltration (TA0010),Data from Cloud Storage (T1530)Automated Exfiltration (T1020),,,,,X,X,,,X,,,,,,,,
Deletion of multiple cloud resources,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Data Destruction (T1485)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Multi region enumeration activity,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Discovery (TA0007)Defense Evasion (TA0005),Cloud Infrastructure Discovery (T1580)Unused/Unsupported Cloud Regions (T1535)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
An internal Cloud resource performed port scan on external networks,Medium,14 Days,30 Days,1 Hour,5 Days,Cloud,Discovery (TA0007)Impact (TA0040),Network Service Discovery (T1046)Resource Hijacking (T1496)Cloud Service Discovery (T1526),,,,,,X,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
Suspicious SSO access from ASN,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,,,,,,,,
SSO with abnormal user agent,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,,,,,,,
Suspicious authentication with Azure Password Hash Sync user,Medium,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001)Defense Evasion (TA0005),Valid Accounts (T1078)Modify Authentication Process: Hybrid Identity (T1556.007),,,,,,,X,,,,,,,,,,
A user connected from a new country,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
First SSO access from ASN in organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,,,,,,,,
SSO authentication by a machine account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,,,,,,,,
First SSO access from ASN for user,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,,,,,,,,
A user logged in at an unusual time via SSO,Informational,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Defense Evasion (TA0005),Valid Accounts (T1078),,,,,,,X,,,,,,,,,,
User attempted to connect from a suspicious country,Informational,14 Days,30 Days,N/A (single event),30 Days,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
First connection from a country in organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,X,X,,,,,
SSO authentication by a service account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,X,X,,,,,
A disabled user attempted to authenticate via SSO,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,X,X,,,,,
First SSO Resource Access in the Organization,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001)Discovery (TA0007),Valid Accounts: Domain Accounts (T1078.002)Cloud Service Discovery (T1526),,,,,,,X,,,X,X,X,,,,,
SSO with new operating system,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,,,,,,,
A successful SSO sign-in from TOR,High,14 Days,30 Days,N/A (single event),1 Hour,Identity Analytics,Initial Access (TA0001)Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003)Valid Accounts (T1078),,,,,,,X,,,X,X,X,,,,,
SSO with abnormal operating system,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts: Domain Accounts (T1078.002),,,,,,,X,,,X,,,,,,,
Suspicious Azure AD interactive sign-in using PowerShell,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts (T1078),,,,,,,X,,,,,,,,,,
SSO Brute Force,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Brute Force (T1110)Brute Force: Password Guessing (T1110.001)Compromise Accounts (T1586),,,,,,,X,,,X,,X,,,,,
Impossible traveler - SSO,Low,14 Days,30 Days,6 Hours,1 Day,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Compromise Accounts (T1586)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,,,,,,,
SSO Password Spray,Informational,14 Days,30 Days,1 Hour,1 Hour,Identity Analytics,Credential Access (TA0006)Resource Development (TA0042),Brute Force: Password Spraying (T1110.003)Brute Force: Password Guessing (T1110.001)Compromise Accounts (T1586),,,,,,,X,,,X,,X,,,,,
Intense SSO failures,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Analytics,Credential Access (TA0006)Initial Access (TA0001),Valid Accounts (T1078)Brute Force: Password Spraying (T1110.003)Brute Force: Password Guessing (T1110.001),,,,,,,X,,,X,,X,,,,,
Authentication method added to an Azure account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
MFA was disabled for an Azure identity,Low,14 Days,30 Days,N/A (single event),1 Hour,Identity Threat Module,Credential Access (TA0006)Defense Evasion (TA0005)Persistence (TA0003),Modify Authentication Process (T1556),,,,,,,X,X,,,,,,,,,
Device Registration Policy modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Abuse Elevation Control Mechanism (T1548),,,,,,,X,X,,,,,,,,,
Azure application credentials added,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Persistence (TA0003),Account Manipulation (T1098)Use Alternate Authentication Material (T1550),,,,,,,X,X,,,,,,,,,
Azure AD PIM alert disabled,Medium,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Domain or Tenant Policy Modification (T1484),,,,,,,X,X,,,,,,,,,
BitLocker key retrieval,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Abuse Elevation Control Mechanism (T1548),,,,,,,X,X,,,,,,,,,
Identity assigned an Azure AD Administrator Role,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Account Manipulation: Additional Cloud Roles (T1098.003),,,,,,,X,X,,,,,,,,,
Azure account deletion by a non-standard account,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Impact (TA0040),Account Access Removal (T1531),,,,,,,X,X,,,,,,,,,
Successful unusual guest user invitation,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Azure AD PIM role settings change,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Privilege Escalation (TA0004),Abuse Elevation Control Mechanism (T1548)Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Azure account creation by a non-standard account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Account Manipulation (T1098)Create Account (T1136),,,,,,,X,X,,,,,,,,,
Azure domain federation settings modification attempt,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003)Privilege Escalation (TA0004),Account Manipulation: Additional Cloud Credentials (T1098.001)Domain or Tenant Policy Modification (T1484),,,,,,,X,X,,,,,,,,,
Azure AD PIM elevation request,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Conditional Access policy removed,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Abuse Elevation Control Mechanism (T1548),,,,,,,X,X,,,,,,,,,
First Azure AD PowerShell operation for a user,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Analytics,Initial Access (TA0001),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Azure application consent,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Initial Access (TA0001)Credential Access (TA0006),Phishing (T1566)Phishing: Spearphishing Link (T1566.002)Steal Application Access Token (T1528)Trusted Relationship (T1199),,,,,,,X,X,,,,,,,,,
Unusual Conditional Access operation for an identity,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Abuse Elevation Control Mechanism (T1548),,,,,,,X,X,,,,,,,,,
Owner added to Azure application,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Credential Access (TA0006),Steal Application Access Token (T1528),,,,,,,X,X,,,,,,,,,
Azure service principal assigned app role,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Azure application URI modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Persistence (TA0003),Account Manipulation (T1098)Use Alternate Authentication Material (T1550),,,,,,,X,X,,,,,,,,,
Azure Temporary Access Pass (TAP) registered to an account,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Unverified domain added to Azure AD,Informational,14 Days,30 Days,N/A (single event),1 Hour,Identity Threat Module,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001),,,,,,,X,X,,,,,,,,,
Azure AD account unlock/password reset attempt,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Short-lived Azure AD user account,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Defense Evasion (TA0005),Valid Accounts (T1078),,,,,,,X,X,,,,,,,,,
Multiple Azure AD admin role removals,Low,14 Days,30 Days,3 Hours,1 Day,Identity Threat Module,Impact (TA0040),Account Access Removal (T1531),,,,,,,X,X,,,,,,,,,
Suspicious SaaS API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,,,,,,,,,X,X,X,X,
Massive file downloads from SaaS service,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
External SaaS file-sharing activity,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
Massive upload to SaaS service,Informational,14 Days,30 Days,3 Hours,1 Day,Identity Threat Module,Exfiltration (TA0010)Collection (TA0009),Exfiltration Over Web Service (T1567)Exfiltration Over Web Service: Exfiltration to Cloud Storage (T1567.002)Data Staged: Remote Data Staging (T1074.002),,,,,,,,,,,,,X,X,X,X,
Suspicious SaaS API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,,,,,,,,,X,X,X,X,
Massive file downloads from SaaS service,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
External SaaS file-sharing activity,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
Massive upload to SaaS service,Informational,14 Days,30 Days,3 Hours,1 Day,Identity Threat Module,Exfiltration (TA0010)Collection (TA0009),Exfiltration Over Web Service (T1567)Exfiltration Over Web Service: Exfiltration to Cloud Storage (T1567.002)Data Staged: Remote Data Staging (T1074.002),,,,,,,,,,,,,X,X,X,X,
A Kubernetes Cronjob was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Scheduled Task/Job: Container Orchestration Job (T1053.007),,,,,X,X,,,X,,,,,,,,
GCP Virtual Private Cloud (VPC) Network Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,,X,,,,,,,,,,,
Unusual secret management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552)Credentials from Password Stores: Cloud Secrets Management Stores (T1555.006),,,,,X,X,,,X,,,,,,,,
Remote usage of an App engine Service Account token,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,X,,,,,,,,,,,
Kubernetes network policy modification,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
Penetration testing tool activity,Medium,14 Days,30 Days,N/A (single event),7 Days,Cloud,Execution (TA0002),User Execution (T1204),,,,,X,X,,,X,,,,,,,,
Kubernetes pod creation with host network,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Unusual key management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552),,,,,X,X,,,X,,,,,,,,
A cloud function was created with an unusual runtime,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Command and Scripting Interpreter (T1059),,,,,,X,,,X,,,,,,,,
Kubernetes Pod created with host process ID (PID) namespace,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A cloud identity had escalated its permissions,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A Kubernetes StatefulSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Unusual Identity and Access Management (IAM) activity,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001)Valid Accounts: Cloud Accounts (T1078.004),,,,,,X,,,X,,,,,,,,
A Kubernetes node service account activity from external IP,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
A Kubernetes deployment was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes service account was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
GCP Pub/Sub Topic Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Service Stop (T1489),,,,,,X,,,,,,,,,,,
Unusual resource modification/creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040)Persistence (TA0003),Data Destruction (T1485)Account Manipulation (T1098),,,,,X,X,,,X,,,,,,,,
Unusual certificate management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials: Private Keys (T1552.004),,,,,X,X,,,X,,,,,,,,
A Kubernetes ephemeral container was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes secret was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Container API (T1552.007),,,,,X,X,,,X,,,,,,,,
A Kubernetes Pod was created with a sidecar container,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes ReplicaSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes Pod was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
GCP Storage Bucket Configuration Modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Data Manipulation: Stored Data Manipulation (T1565.001),,,,,,X,,,,,,,,,,,
GCP Firewall Rule creation,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,,X,,,,,,,,,,,
Cloud compute serial console access,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Lateral Movement (TA0008),Remote Services: Direct Cloud VM Connections (T1021.008),,,,,X,X,,,X,,,,,,,,
Cloud impersonation attempt by unusual identity type,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,,X,,,X,,,,,,,,
A cloud identity created or modified a security group,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,X,,,X,,,,,,,,
GCP Pub/Sub Subscription Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Service Stop (T1489),,,,,,X,,,,,,,,,,,
GCP IAM Service Account Key Deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,,X,,,,,,,,,,,
GCP Logging Bucket Deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,X,,,,,,,,,,,
Kubernetes Privileged Pod Creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
GCP Virtual Private Network Route Creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,,X,,,,,,,,,,,
GCP Service Account key creation,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001),,,,,,X,,,,,,,,,,,
A cloud snapshot was created or modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Exfiltration (TA0010)Defense Evasion (TA0005),Transfer Data to Cloud Account (T1537)Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
A cloud identity invoked IAM related persistence operations,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation (T1098)Create Account (T1136)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Suspicious API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Cloud,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,X,X,,,X,,,,,,,,
A Kubernetes service account has enumerated its permissions,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Discovery (TA0007),Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
A Kubernetes namespace was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Masquerading (T1036),,,,,X,X,,,X,,,,,,,,
GCP Virtual Private Network Route Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,,X,,,,,,,,,,,
Kubernetes Pod Created With Sensitive Volume,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Log4J exploitation attempt against cloud hosted resources,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Credential Access (TA0006),Exploit Public-Facing Application (T1190)Steal Application Access Token (T1528),,,,,X,X,,,X,,,,,,,,
Cloud unusual access key creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001),,,,,,X,,,X,,,,,,,,
Unusual cloud identity impersonation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Defense Evasion (TA0005),Valid Accounts: Cloud Accounts (T1078.004)Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access (T1548.005)Impersonation (T1656),,,,,,X,,,X,,,,,,,,
A Kubernetes cluster role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
Remote usage of VM Service Account token,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,X,,,,,,,,,,,
Kubernetes scanning activity,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002)Discovery (TA0007),Deploy Container (T1610)Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
GCP Service Account Disable,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,,X,,,,,,,,,,,
Cloud Organizational policy was created or modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Domain or Tenant Policy Modification (T1484),,,,,,X,,,,,,,,,,,
GCP IAM Role Deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,,X,,,,,,,,,,,
GCP Firewall Rule Modification,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,,X,,,,,,,,,,,
A Kubernetes API operation was successfully invoked by an anonymous user,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
Network sniffing detected in Cloud environment,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006)Discovery (TA0007),Network Sniffing (T1040),,,,,X,X,,,X,,,,,,,,
A Kubernetes role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
Suspicious cloud compute instance ssh keys modification attempt,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: SSH Authorized Keys (T1098.004),,,,,X,X,,,X,,,,,,,,
Unusual IAM enumeration activity by a non-user Identity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
A Kubernetes cluster was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
Kubernetes cluster events deletion,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Tools (T1562.001),,,,,X,X,,,X,,,,,,,,
GCP Service Account deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,,X,,,,,,,,,,,
GCP Storage Bucket deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,X,,,,,,,,,,,
An operation was performed by an identity from a domain that was not seen in the organization,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),External Remote Services (T1133),,,,,X,X,,,X,,,,,,,,
A Kubernetes service was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
A Kubernetes ConfigMap was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A cloud storage configuration was modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
GCP Service Account creation,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Persistence (TA0003),Create Account (T1136),,,,,,X,,,,,,,,,,,
Cloud identity reached a throttling API rate,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
GCP IAM Custom Role Creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,,X,,,,,,,,,,,
A Kubernetes DaemonSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A container registry was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
GCP VPC Firewall Rule Deletion,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,,X,,,,,,,,,,,
